id,district_id,name_en,postcode,latitude,longitude
1570,21,Giritale,51026,8.00235640,80.92492120
1571,21,Hingurakdamana,51408,8.04158880,80.95323590
1572,21,Hingurakgoda,51400,8.04158880,80.95323590
1573,21,Jayanthipura,51024,7.94831560,81.00178270
1574,21,Kalingaela,51002,7.94033840,81.01879840
1575,21,Lakshauyana,51006,7.99050680,80.99953870
1576,21,Mankemi,30442,7.94033840,81.01879840
1577,21,Minneriya,51410,8.03867090,80.90639220
1578,21,Onegama,51004,7.97767770,81.09202180
1579,21,Orubendi Siyambalawa,51256,7.75360980,80.81286360
1580,21,Palugasdamana,51046,7.96545990,81.02577630
1581,21,Panichankemi,30444,7.94033840,81.01879840
1582,21,Polonnaruwa,51000,7.96191410,80.99523530
1583,21,Talpotha,51044,8.03145710,81.03401510
1584,21,Tambala,51049,8.00939770,81.06970530
1585,21,Unagalavehera,51008,8.01190430,80.99125140
1586,21,Wijayabapura,51042,7.82271190,81.18569940
1587,22,Adippala,61012,7.67343660,79.87728340
1588,22,Alutgama,12080,7.56666700,79.90000000
1589,22,Alutwewa,51014,7.98333300,80.40000000
1590,22,Ambakandawila,61024,7.52756270,79.79363220
1591,22,Anamaduwa,61500,7.87777030,80.01111560
1592,22,Andigama,61508,7.77828890,79.94864890
1593,22,Angunawila,61264,7.75339880,79.86048310
1594,22,Attawilluwa,61328,7.96055990,79.88008320
1595,22,Bangadeniya,61238,7.62805620,79.82547220
1596,22,Baranankattuwa,61262,7.80192840,79.87168370
1597,22,Battuluoya,61246,7.73377000,79.82407150
1598,22,Bujjampola,61136,7.32716380,79.91647170
1599,22,Chilaw,61000,7.56198940,79.80165690
1600,22,Dalukana,51092,8.04079130,79.83938600
1601,22,Dankotuwa,61130,7.29746350,79.88218810
1602,22,Dewagala,51094,8.04079130,79.83938600
1603,22,Dummalasuriya,60260,7.49240010,79.91087440
1604,22,Dunkannawa,61192,7.41867940,79.91003190
1605,22,Eluwankulama,61308,8.27308210,79.88008320
1606,22,Ettale,61343,8.04079130,79.83938600
